global_step,episodic_return
100000,-19.62244987487793
200000,-20.252174377441406
300000,-20.821704864501953
400000,-20.909090042114258
500000,-21.0
600000,-21.0
700000,-21.0
800000,-21.0
900000,-21.0
1000000,-21.0
1100000,-21.0
1200000,-21.0
1300000,-21.0
1400000,-21.0
1500000,-21.0
1600000,-21.0
1700000,-21.0
1800000,-21.0
1900000,-21.0
2000000,-21.0
2100000,-21.0
2200000,-21.0
2300000,-21.0
2400000,-21.0
2500000,-21.0
2600000,-21.0
2700000,-21.0
2800000,-21.0
2900000,-21.0
3000000,-21.0
3100000,-21.0
3200000,-21.0
3300000,-21.0
3400000,-21.0
3500000,-21.0
3600000,-21.0
3700000,-21.0
3800000,-21.0
3900000,-21.0
4000000,-21.0
4100000,-21.0
4200000,-21.0
4300000,-21.0
4400000,-21.0
4500000,-21.0
4600000,-21.0
4700000,-21.0
4800000,-21.0
4900000,-21.0
5000000,-21.0
5100000,-21.0
5200000,-21.0
5300000,-21.0
5400000,-21.0
5500000,-21.0
5600000,-21.0
5700000,-21.0
5800000,-21.0
5900000,-21.0
6000000,-21.0
6100000,-21.0
6200000,-21.0
6300000,-21.0
6400000,-21.0
6500000,-21.0
6600000,-21.0
6700000,-21.0
6800000,-21.0
6900000,-21.0
7000000,-21.0
7100000,-21.0
7200000,-21.0
7300000,-21.0
7400000,-21.0
7500000,-21.0
7600000,-21.0
7700000,-21.0
7800000,-21.0
7900000,-21.0
8000000,-21.0
8100000,-21.0
8200000,-21.0
8300000,-21.0
8400000,-21.0
8500000,-21.0
8600000,-21.0
8700000,-21.0
8800000,-21.0
8900000,-21.0
9000000,-21.0
9100000,-21.0
9200000,-21.0
9300000,-21.0
9400000,-21.0
9500000,-21.0
9600000,-21.0
9700000,-21.0
9800000,-21.0
9900000,-21.0
10000000,-21.0
